2021-03-03,VA,9326,24354
2021-03-03,WA,4988,19433
2021-03-03,WI,7069,26279
2021-03-03,WY,682,1388
2021-03-02,AK,302,1286
2021-03-02,AL,9991,45699
2021-03-02,AR,5254,14795
2021-03-02,AZ,16060,57591
2021-03-02,CO,5959,23593
2021-03-02,FL,31696,80972
2021-03-02,GA,17480,56251
2021-03-02,HI,439,2226
2021-03-02,ID,1867,7111
2021-03-02,IN,12623,42862
2021-03-02,KS,4743,9290
2021-03-02,KY,4671,19234
2021-03-02,MA,16182,19444
2021-03-02,MD,7905,35152
2021-03-02,ME,703,1536
2021-03-02,MN,6490,25826
2021-03-02,MP,2,4
2021-03-02,MS,6724,9162
2021-03-02,MT,1372,4591
2021-03-02,ND,1477,3874
2021-03-02,NE,2084,6140
2021-03-02,NH,1170,1119
2021-03-02,NJ,23321,63917
2021-03-02,NM,3740,13148
2021-03-02,OH,17189,50503
2021-03-02,OK,4534,23999
2021-03-02,OR,2212,8621
2021-03-02,RI,2525,8966
2021-03-02,SC,8576,20428
2021-03-02,SD,1888,6640
2021-03-02,TN,11436,18679
2021-03-02,UT,1949,14753
2021-03-02,VA,8943,24258
2021-03-02,WA,4969,19372
2021-03-02,WI,7050,26222
2021-03-02,WY,682,1385
2021-03-01,AK,300,1279
2021-03-01,AL,9931,45648
2021-03-01,AR,5250,14763
2021-03-01,AZ,15979,57589
2021-03-01,CO,5952,23550
2021-03-01,FL,31556,80659
2021-03-01,GA,17376,56089
2021-03-01,HI,439,2214
2021-03-01,ID,1860,7076
2021-03-01,IN,12595,42815
2021-03-01,KS,4743,9290
2021-03-01,KY,4652,19143
2021-03-01,MA,16144,19444
2021-03-01,MD,7879,35069
2021-03-01,ME,703,1529
2021-03-01,MN,6486,25727
2021-03-01,MP,2,4
2021-03-01,MS,6681,9012
2021-03-01,MT,1357,4584
2021-03-01,ND,1475,3871
2021-03-01,NE,2082,6106
2021-03-01,NH,1170,1118
2021-03-01,NJ,23273,63777
2021-03-01,NM,3729,13127
2021-03-01,OH,17346,50382
2021-03-01,OK,4478,23995
2021-03-01,OR,2208,8570
2021-03-01,RI,2517,8947
2021-03-01,SC,8562,20406
2021-03-01,SD,1888,6632
2021-03-01,TN,11421,18620
2021-03-01,UT,1940,14724
2021-03-01,VA,8783,24158
2021-03-01,WA,4956,19319
2021-03-01,WI,7014,26158
2021-03-01,WY,671,1384
2021-02-28,AK,290,1277
2021-02-28,AL,9929,45428
2021-02-28,AR,5243,14763
2021-02-28,AZ,15980,57599
2021-02-28,CO,5951,23476
2021-02-28,FL,31406,80572
2021-02-28,GA,17295,56039
2021-02-28,HI,439,2214
2021-02-28,ID,1860,7076
2021-02-28,IN,12573,42775
2021-02-28,KS,4735,9249
2021-02-28,KY,4637,19101
2021-02-28,MA,16118,19444
2021-02-28,MD,7869,35000
2021-02-28,ME,703,1527
2021-02-28,MN,6483,25719
2021-02-28,MP,2,4
2021-02-28,MS,6681,9012
2021-02-28,MT,1357,4581
2021-02-28,ND,1472,3867
2021-02-28,NE,2082,6102
2021-02-28,NH,1170,1118
2021-02-28,NJ,23252,63713
2021-02-28,NM,3716,13108
2021-02-28,OH,17297,50279
2021-02-28,OK,4428,23985
2021-02-28,OR,2208,8570
2021-02-28,RI,2514,8900
2021-02-28,SC,8530,20387
2021-02-28,SD,1888,6626
2021-02-28,TN,11411,18605
2021-02-28,UT,1935,14695
2021-02-28,VA,8552,24115
2021-02-28,WA,4956,19319
2021-02-28,WI,7014,26127
2021-02-28,WY,671,1382
2021-02-27,AK,290,1277
2021-02-27,AL,9930,45428
2021-02-27,AR,5417,14763
2021-02-27,AZ,15967,57508
2021-02-27,CO,5945,23459
2021-02-27,FL,31280,80467
2021-02-27,GA,17294,55963
2021-02-27,HI,439,2214
2021-02-27,ID,1859,7065
2021-02-27,IN,12556,42736
2021-02-27,KS,4735,9249
2021-02-27,KY,4625,19090
2021-02-27,MA,16067,19444
2021-02-27,MD,7856,34927
2021-02-27,ME,702,1525
2021-02-27,MN,6475,25714
2021-02-27,MP,2,4
2021-02-27,MS,6669,9012
2021-02-27,MT,1356,4579
2021-02-27,ND,1472,3866
2021-02-27,NE,2082,6099
2021-02-27,NH,1170,1114
2021-02-27,NJ,23238,63664
2021-02-27,NM,3700,13097
2021-02-27,OH,17237,50197
2021-02-27,OK,4379,23909
2021-02-27,OR,2206,8570
2021-02-27,RI,2512,8900
2021-02-27,SC,8498,20340
2021-02-27,SD,1886,6610
2021-02-27,TN,11393,18586
2021-02-27,UT,1929,14664
2021-02-27,VA,8382,24091
2021-02-27,WA,4956,19275
2021-02-27,WI,7014,26088
2021-02-27,WY,671,1381
2021-02-26,AK,290,1277
2021-02-26,AL,9869,45428
2021-02-26,AR,5407,14747
2021-02-26,AZ,15897,57460
2021-02-26,CO,5940,23438
2021-02-26,FL,31162,80238
2021-02-26,GA,17219,55778
2021-02-26,HI,437,2214
2021-02-26,ID,1850,7057
2021-02-26,IN,12531,42708
2021-02-26,KS,4735,9249
2021-02-26,KY,4600,18981
2021-02-26,MA,16024,19444
2021-02-26,MD,7838,34848
2021-02-26,ME,701,1519
2021-02-26,MN,6462,25683
2021-02-26,MP,2,4
2021-02-26,MS,6638,9012
2021-02-26,MT,1354,4571
2021-02-26,ND,1472,3864
2021-02-26,NE,2078,6088
2021-02-26,NH,1167,1109
2021-02-26,NJ,23192,63560
2021-02-26,NM,3685,13079
2021-02-26,OH,17183,50118
2021-02-26,OK,4320,23879
2021-02-26,OR,2204,8551
2021-02-26,RI,2502,8900
2021-02-26,SC,8477,20275
2021-02-26,SD,1879,6591
2021-02-26,TN,11377,18553
2021-02-26,UT,1907,14628
2021-02-26,VA,8197,23978
2021-02-26,WA,4942,19224
2021-02-26,WI,6999,26013
2021-02-26,WY,671,1381
2021-02-25,AK,290,1271
2021-02-25,AL,9831,45312
2021-02-25,AR,5397,14714
2021-02-25,AZ,15814,57390
2021-02-25,CO,5925,23385
2021-02-25,FL,31018,79956
2021-02-25,GA,17199,55604
2021-02-25,HI,435,2209
2021-02-25,ID,1840,7044
2021-02-25,IN,12494,42672
2021-02-25,KS,4724,9189
2021-02-25,KY,4570,18888
2021-02-25,MA,15978,19444
2021-02-25,MD,7805,34759
2021-02-25,ME,701,1521
2021-02-25,MN,6450,25625
2021-02-25,MP,2,4
2021-02-25,MS,6613,9012
2021-02-25,MT,1350,4567
2021-02-25,ND,1471,3863
2021-02-25,NE,2063,6082
2021-02-25,NH,1163,1106
2021-02-25,NJ,23147,63441
2021-02-25,NM,3671,13054
2021-02-25,OH,17125,49951
2021-02-25,OK,4302,23813
2021-02-25,OR,2194,8528
2021-02-25,RI,2496,8875
2021-02-25,SC,8443,20195
2021-02-25,SD,1872,6589
2021-02-25,TN,11321,18506
2021-02-25,UT,1890,14597
2021-02-25,VA,7963,23871
2021-02-25,WA,4912,19211
2021-02-25,WI,6994,25954
2021-02-25,WY,671,1377
2021-02-24,AK,290,1260
2021-02-24,AL,9744,45250
2021-02-24,AR,5387,14649
2021-02-24,AZ,15693,57156
2021-02-24,CO,5917,23349
2021-02-24,FL,30878,79675
2021-02-24,GA,17064,55394
2021-02-24,HI,435,2204
2021-02-24,ID,1840,7033
2021-02-24,IN,12467,42635
2021-02-24,KS,4724,9189
2021-02-24,KY,4527,18859
2021-02-24,MA,15945,19444
2021-02-24,MD,7789,34672
2021-02-24,ME,677,1515
2021-02-24,MN,6443,25579
2021-02-24,MP,2,4
2021-02-24,MS,6605,9012
2021-02-24,MT,1348,4559
2021-02-24,ND,1470,3860
2021-02-24,NE,2054,6059
2021-02-24,NH,1157,1101
2021-02-24,NJ,23077,63252
2021-02-24,NM,3658,13024
2021-02-24,OH,17045,49788
2021-02-24,OK,4264,23768
2021-02-24,OR,2162,8496
2021-02-24,RI,2487,8850
2021-02-24,SC,8398,20117
2021-02-24,SD,1864,6570
2021-02-24,TN,11266,18430
2021-02-24,UT,1879,14554
2021-02-24,VA,7807,23798
2021-02-24,WA,4881,19160
2021-02-24,WI,6936,25893
2021-02-24,WY,671,1374
2021-02-23,AK,290,1260
2021-02-23,AL,9660,45250
2021-02-23,AR,5377,14617
2021-02-23,AZ,15650,57072
2021-02-23,CO,5907,23293
2021-02-23,FL,30749,79410
2021-02-23,GA,16927,55167
2021-02-23,HI,431,2196
2021-02-23,ID,1826,7007
2021-02-23,IN,12450,42557
2021-02-23,KS,4643,9103
2021-02-23,KY,4476,18768
2021-02-23,MA,15883,19176
2021-02-23,MD,7762,34577
2021-02-23,ME,660,1511
2021-02-23,MN,6434,25528
2021-02-23,MP,2,4
2021-02-23,MS,6577,9012
2021-02-23,MT,1346,4554
2021-02-23,ND,1468,3859
2021-02-23,NE,2050,6048
2021-02-23,NH,1155,1095
2021-02-23,NJ,22978,63190
2021-02-23,NM,3644,12989
2021-02-23,OH,16968,49651
2021-02-23,OK,4227,23700
2021-02-23,OR,2155,8457
2021-02-23,RI,2476,8835
2021-02-23,SC,8357,20024
2021-02-23,SD,1863,6548
2021-02-23,TN,11198,18363
2021-02-23,UT,1865,14520
2021-02-23,VA,7658,23698
2021-02-23,WA,4857,19110
2021-02-23,WI,6910,25838
2021-02-23,WY,671,1373
2021-02-22,AK,290,1251
2021-02-22,AL,9592,45128
2021-02-22,AR,5363,14570
2021-02-22,AZ,15502,56994
2021-02-22,CO,5893,23183
